"ride_hour","ride_hour_count","member_casual"
"17","222111","casual"
"16","199863","casual"
"18","198977","casual"
"15","179834","casual"
"14","161360","casual"
"19","152522","casual"
"13","151618","casual"
"12","145278","casual"
"11","122446","casual"
"20","112780","casual"
"21","96438","casual"
"10","93763","casual"
"22","87116","casual"
"9","73088","casual"
"8","71026","casual"
"23","64990","casual"
"7","52593","casual"
"0","46767","casual"
"1","30337","casual"
"6","30096","casual"
"2","18789","casual"
"5","12632","casual"
"3","11148","casual"
"4","7727","casual"
"17","356510","member"
"16","297495","member"
"18","289441","member"
"15","225618","member"
"8","210653","member"
"19","209403","member"
"12","190875","member"
"13","189334","member"
"14","188024","member"
"7","176759","member"
"11","165350","member"
"9","147643","member"
"20","147036","member"
"10","138626","member"
"21","115576","member"
"6","93578","member"
"22","88294","member"
"23","57907","member"
"0","36759","member"
"5","32666","member"
"1","22559","member"
"2","13163","member"
"4","9070","member"
"3","8151","member"
