"weekday","ride_hour","ride_hour_count","member_casual"
"Friday","17","47148","member"
"Friday","16","41644","member"
"Friday","18","39896","member"
"Friday","15","34176","member"
"Friday","17","31958","casual"
"Friday","18","29783","casual"
"Friday","19","29036","member"
"Friday","16","28741","casual"
"Friday","14","27600","member"
"Friday","8","27470","member"
"Friday","13","27019","member"
"Friday","12","26426","member"
"Friday","15","25944","casual"
"Friday","7","24618","member"
"Friday","19","23131","casual"
"Friday","14","22287","casual"
"Friday","11","21753","member"
"Friday","13","20725","casual"
"Friday","20","20156","member"
"Friday","12","19502","casual"
"Friday","9","19350","member"
"Friday","10","17496","member"
"Friday","20","16981","casual"
"Friday","21","15770","member"
"Friday","11","15640","casual"
"Friday","22","14783","casual"
"Friday","6","14552","member"
"Friday","21","14283","casual"
"Friday","22","13987","member"
"Friday","23","13896","casual"
"Friday","10","11762","casual"
"Friday","23","11316","member"
"Friday","8","9747","casual"
"Friday","9","9550","casual"
"Friday","7","8026","casual"
"Friday","0","5620","casual"
"Friday","6","5598","casual"
"Friday","5","5032","member"
"Friday","0","4804","member"
"Friday","1","3366","casual"
"Friday","1","2729","member"
"Friday","2","1944","casual"
"Friday","5","1788","casual"
"Friday","2","1539","member"
"Friday","4","1300","member"
"Friday","3","1236","casual"
"Friday","3","990","member"
"Friday","4","931","casual"
"Monday","17","57728","member"
"Monday","18","45479","member"
"Monday","16","44419","member"
"Monday","8","32477","member"
"Monday","19","31560","member"
"Monday","15","30526","member"
"Monday","17","28902","casual"
"Monday","7","27938","member"
"Monday","18","25535","casual"
"Monday","16","24965","casual"
"Monday","14","24505","member"
"Monday","12","24407","member"
"Monday","13","24381","member"
"Monday","20","21738","member"
"Monday","15","21506","casual"
"Monday","11","20669","member"
"Monday","9","19624","member"
"Monday","14","19449","casual"
"Monday","19","19138","casual"
"Monday","13","17996","casual"
"Monday","12","17176","casual"
"Monday","10","17077","member"
"Monday","21","15870","member"
"Monday","6","15216","member"
"Monday","20","14117","casual"
"Monday","11","14071","casual"
"Monday","21","11184","casual"
"Monday","10","10919","casual"
"Monday","22","10011","member"
"Monday","8","9160","casual"
"Monday","9","8821","casual"
"Monday","22","8809","casual"
"Monday","7","7118","casual"
"Monday","23","5633","member"
"Monday","23","5610","casual"
"Monday","5","5214","member"
"Monday","0","4323","casual"
"Monday","6","4143","casual"
"Monday","0","3225","member"
"Monday","1","2393","casual"
"Monday","1","1806","member"
"Monday","5","1730","casual"
"Monday","2","1643","casual"
"Monday","4","1227","member"
"Monday","3","1177","casual"
"Monday","2","1061","member"
"Monday","4","1036","casual"
"Monday","3","791","member"
"Saturday","15","40136","casual"
"Saturday","16","38382","casual"
"Saturday","14","38224","casual"
"Saturday","13","36615","casual"
"Saturday","17","35653","casual"
"Saturday","12","34974","casual"
"Saturday","16","33143","member"
"Saturday","12","32989","member"
"Saturday","14","32940","member"
"Saturday","15","32872","member"
"Saturday","13","32788","member"
"Saturday","18","32583","casual"
"Saturday","17","32104","member"
"Saturday","11","31597","member"
"Saturday","11","30663","casual"
"Saturday","18","30071","member"
"Saturday","10","27072","member"
"Saturday","19","25853","casual"
"Saturday","19","24481","member"
"Saturday","10","23523","casual"
"Saturday","9","22163","member"
"Saturday","20","19520","casual"
"Saturday","22","18683","casual"
"Saturday","21","18154","casual"
"Saturday","20","17903","member"
"Saturday","23","17606","casual"
"Saturday","9","15773","casual"
"Saturday","8","15571","member"
"Saturday","21","15566","member"
"Saturday","22","14275","member"
"Saturday","23","12571","member"
"Saturday","0","11821","casual"
"Saturday","7","9317","member"
"Saturday","8","9240","casual"
"Saturday","0","9104","member"
"Saturday","1","9054","casual"
"Saturday","1","6476","member"
"Saturday","2","5126","casual"
"Saturday","6","4969","member"
"Saturday","7","4658","casual"
"Saturday","2","3653","member"
"Saturday","3","2754","casual"
"Saturday","6","2580","casual"
"Saturday","3","2120","member"
"Saturday","5","2029","member"
"Saturday","5","1438","casual"
"Saturday","4","1344","casual"
"Saturday","4","1278","member"
"Sunday","15","34718","casual"
"Sunday","16","33485","casual"
