"weekday","ride_hour","ride_hour_count"
"Friday","17","79106"
"Friday","16","70385"
"Friday","18","69679"
"Friday","15","60120"
"Friday","19","52167"
"Friday","14","49887"
"Friday","13","47744"
"Friday","12","45928"
"Friday","11","37393"
"Friday","8","37217"
"Friday","20","37137"
"Friday","7","32644"
"Friday","21","30053"
"Friday","10","29258"
"Friday","9","28900"
"Friday","22","28770"
"Friday","23","25212"
"Friday","6","20150"
"Friday","0","10424"
"Friday","5","6820"
"Friday","1","6095"
"Friday","2","3483"
"Friday","4","2231"
"Friday","3","2226"
