"weekday","ride_hour","ride_hour_count"
"Monday","17","86630"
"Monday","18","71014"
"Monday","16","69384"
"Monday","15","52032"
"Monday","19","50698"
"Monday","14","43954"
"Monday","13","42377"
"Monday","8","41637"
"Monday","12","41583"
"Monday","20","35855"
"Monday","7","35056"
"Monday","11","34740"
"Monday","9","28445"
"Monday","10","27996"
"Monday","21","27054"
"Monday","6","19359"
"Monday","22","18820"
"Monday","23","11243"
"Monday","0","7548"
"Monday","5","6944"
"Monday","1","4199"
"Monday","2","2704"
"Monday","4","2263"
"Monday","3","1968"
