"weekday","ride_hour","ride_hour_count"
"Saturday","15","73008"
"Saturday","16","71525"
"Saturday","14","71164"
"Saturday","13","69403"
"Saturday","12","67963"
"Saturday","17","67757"
"Saturday","18","62654"
"Saturday","11","62260"
"Saturday","10","50595"
"Saturday","19","50334"
"Saturday","9","37936"
"Saturday","20","37423"
"Saturday","21","33720"
"Saturday","22","32958"
"Saturday","23","30177"
"Saturday","8","24811"
"Saturday","0","20925"
"Saturday","1","15530"
"Saturday","7","13975"
"Saturday","2","8779"
"Saturday","6","7549"
"Saturday","3","4874"
"Saturday","5","3467"
"Saturday","4","2622"
