"weekday","ride_hour","ride_hour_count"
"Thursday","17","94946"
"Thursday","18","80098"
"Thursday","16","74278"
"Thursday","19","58080"
"Thursday","15","53660"
"Thursday","8","53493"
"Thursday","7","44562"
"Thursday","14","42587"
"Thursday","12","42236"
"Thursday","13","41837"
"Thursday","20","41544"
"Thursday","21","34706"
"Thursday","11","34614"
"Thursday","9","32785"
"Thursday","22","29553"
"Thursday","10","28565"
"Thursday","6","22531"
"Thursday","23","17902"
"Thursday","5","7635"
"Thursday","0","7477"
"Thursday","1","3860"
"Thursday","2","2205"
"Thursday","4","1923"
"Thursday","3","1553"
