"weekday","ride_hour","ride_hour_count"
"Tuesday","17","94003"
"Tuesday","18","74676"
"Tuesday","16","73049"
"Tuesday","19","54291"
"Tuesday","8","54104"
"Tuesday","15","50455"
"Tuesday","7","47251"
"Tuesday","12","38980"
"Tuesday","13","38795"
"Tuesday","14","38664"
"Tuesday","20","37730"
"Tuesday","11","31863"
"Tuesday","9","31354"
"Tuesday","21","30249"
"Tuesday","10","26393"
"Tuesday","6","24475"
"Tuesday","22","21465"
"Tuesday","23","12013"
"Tuesday","5","8502"
"Tuesday","0","5837"
"Tuesday","1","3054"
"Tuesday","4","2144"
"Tuesday","2","1786"
"Tuesday","3","1312"
