"weekday","ride_hour","ride_hour_count"
"Wednesday","17","96072"
"Wednesday","18","78141"
"Wednesday","16","73496"
"Wednesday","19","56336"
"Wednesday","8","52653"
"Wednesday","15","49405"
"Wednesday","7","44635"
"Wednesday","20","40854"
"Wednesday","14","39256"
"Wednesday","12","38185"
"Wednesday","13","38028"
"Wednesday","21","32768"
"Wednesday","11","32006"
"Wednesday","9","31626"
"Wednesday","10","26254"
"Wednesday","22","24554"
"Wednesday","6","22914"
"Wednesday","23","14021"
"Wednesday","5","8176"
"Wednesday","0","6233"
"Wednesday","1","3181"
"Wednesday","4","1909"
"Wednesday","2","1728"
"Wednesday","3","1288"
