"weekday","ride_hour","ride_hour_count"
"Sunday","15","66772"
"Sunday","16","65241"
"Sunday","14","63872"
"Sunday","13","62768"
"Sunday","12","61278"
"Sunday","17","60107"
"Sunday","11","54920"
"Sunday","18","52156"
"Sunday","10","43328"
"Sunday","19","40019"
"Sunday","9","29685"
"Sunday","20","29273"
"Sunday","0","25082"
"Sunday","21","23464"
"Sunday","22","19290"
"Sunday","8","17764"
"Sunday","1","16977"
"Sunday","23","12329"
"Sunday","2","11267"
"Sunday","7","11229"
"Sunday","6","6696"
"Sunday","3","6078"
"Sunday","5","3754"
"Sunday","4","3705"
