"weekday","ride_hour","ride_hour_count"
"Friday","17","79106"
"Friday","16","70385"
"Friday","18","69679"
"Friday","15","60120"
"Friday","19","52167"
"Friday","14","49887"
"Friday","13","47744"
"Friday","12","45928"
"Friday","11","37393"
"Friday","8","37217"
"Friday","20","37137"
"Friday","7","32644"
"Friday","21","30053"
"Friday","10","29258"
"Friday","9","28900"
"Friday","22","28770"
"Friday","23","25212"
"Friday","6","20150"
"Friday","0","10424"
"Friday","5","6820"
"Friday","1","6095"
"Friday","2","3483"
"Friday","4","2231"
"Friday","3","2226"
"Monday","17","86630"
"Monday","18","71014"
"Monday","16","69384"
"Monday","15","52032"
"Monday","19","50698"
"Monday","14","43954"
"Monday","13","42377"
"Monday","8","41637"
"Monday","12","41583"
"Monday","20","35855"
"Monday","7","35056"
"Monday","11","34740"
"Monday","9","28445"
"Monday","10","27996"
"Monday","21","27054"
"Monday","6","19359"
"Monday","22","18820"
"Monday","23","11243"
"Monday","0","7548"
"Monday","5","6944"
"Monday","1","4199"
"Monday","2","2704"
"Monday","4","2263"
"Monday","3","1968"
"Saturday","15","73008"
"Saturday","16","71525"
"Saturday","14","71164"
"Saturday","13","69403"
"Saturday","12","67963"
"Saturday","17","67757"
"Saturday","18","62654"
"Saturday","11","62260"
"Saturday","10","50595"
"Saturday","19","50334"
"Saturday","9","37936"
"Saturday","20","37423"
"Saturday","21","33720"
"Saturday","22","32958"
"Saturday","23","30177"
"Saturday","8","24811"
"Saturday","0","20925"
"Saturday","1","15530"
"Saturday","7","13975"
"Saturday","2","8779"
"Saturday","6","7549"
"Saturday","3","4874"
"Saturday","5","3467"
"Saturday","4","2622"
"Sunday","15","66772"
"Sunday","16","65241"
"Sunday","14","63872"
"Sunday","13","62768"
"Sunday","12","61278"
"Sunday","17","60107"
"Sunday","11","54920"
"Sunday","18","52156"
"Sunday","10","43328"
"Sunday","19","40019"
"Sunday","9","29685"
"Sunday","20","29273"
"Sunday","0","25082"
"Sunday","21","23464"
"Sunday","22","19290"
"Sunday","8","17764"
"Sunday","1","16977"
"Sunday","23","12329"
"Sunday","2","11267"
"Sunday","7","11229"
"Sunday","6","6696"
"Sunday","3","6078"
"Sunday","5","3754"
"Sunday","4","3705"
"Thursday","17","94946"
"Thursday","18","80098"
"Thursday","16","74278"
"Thursday","19","58080"
"Thursday","15","53660"
"Thursday","8","53493"
"Thursday","7","44562"
"Thursday","14","42587"
"Thursday","12","42236"
"Thursday","13","41837"
"Thursday","20","41544"
"Thursday","21","34706"
"Thursday","11","34614"
"Thursday","9","32785"
"Thursday","22","29553"
"Thursday","10","28565"
"Thursday","6","22531"
"Thursday","23","17902"
"Thursday","5","7635"
"Thursday","0","7477"
"Thursday","1","3860"
"Thursday","2","2205"
"Thursday","4","1923"
"Thursday","3","1553"
"Tuesday","17","94003"
"Tuesday","18","74676"
"Tuesday","16","73049"
"Tuesday","19","54291"
"Tuesday","8","54104"
"Tuesday","15","50455"
"Tuesday","7","47251"
"Tuesday","12","38980"
"Tuesday","13","38795"
"Tuesday","14","38664"
"Tuesday","20","37730"
"Tuesday","11","31863"
"Tuesday","9","31354"
"Tuesday","21","30249"
"Tuesday","10","26393"
"Tuesday","6","24475"
"Tuesday","22","21465"
"Tuesday","23","12013"
"Tuesday","5","8502"
"Tuesday","0","5837"
"Tuesday","1","3054"
"Tuesday","4","2144"
"Tuesday","2","1786"
"Tuesday","3","1312"
"Wednesday","17","96072"
"Wednesday","18","78141"
"Wednesday","16","73496"
"Wednesday","19","56336"
"Wednesday","8","52653"
"Wednesday","15","49405"
"Wednesday","7","44635"
"Wednesday","20","40854"
"Wednesday","14","39256"
"Wednesday","12","38185"
"Wednesday","13","38028"
"Wednesday","21","32768"
"Wednesday","11","32006"
"Wednesday","9","31626"
"Wednesday","10","26254"
"Wednesday","22","24554"
"Wednesday","6","22914"
"Wednesday","23","14021"
"Wednesday","5","8176"
"Wednesday","0","6233"
"Wednesday","1","3181"
"Wednesday","4","1909"
"Wednesday","2","1728"
"Wednesday","3","1288"
